"name_code","Kingdom_C","Phylum_C","Class_C","Order_C","Family_C","Genus_C","Species","ForestConservation","Unusual","ScientificName_C","ScientificName","Latitude","Longitude","Country_C","County_C","iPrecision ","InstitutionCode","CollectedDateTime"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.7","121.81","","","0","asiz","2000/10/29 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","24.65","121.8","","","0","asiz","2000/8/27 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.66","121.81","","","0","asiz","2000/9/22 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","24.65","121.8","","","0","asiz","2000/9/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.66","121.8","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.65","121.8","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.66","121.81","","","0","asiz","2000/11/25 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.69","121.8","","","0","asiz","2000/9/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.69","121.8","","","0","asiz","2000/9/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.66","121.8","","","0","asiz","2000/9/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.69","121.8","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.67","121.8","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.66","121.79","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.69","121.8","","","0","asiz","2000/11/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.68","121.8","","","0","asiz","2000/11/26 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","24.63","121.82","","","0","asiz","2000/8/27 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.61","121.84","","","0","asiz","2000/10/1 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.61","121.84","","","0","asiz","2000/10/1 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.61","121.83","","","0","asiz","2000/10/1 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","24.61","121.83","","","0","asiz","2000/10/1 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.62","121.82","","","0","asiz","2000/10/1 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","24.62","121.82","","","0","asiz","2000/10/1 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.61","121.83","","","0","asiz","2000/10/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","24.61","121.84","","","0","asiz","2000/11/25 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/28 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/23 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/29 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/8/12 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/9/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/24 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/8/12 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/8/12 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/8/26 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/8/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/7/22 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/8/27 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/8/27 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/8/27 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/8/27 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/9/26 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/9/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/9/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/10/29 1:1"
"380162","動物界","脊索動物門","鳥綱","鸛形目","燕鴴科","燕鴴屬","maldivarum","III","","燕鴴","Glareola maldivarum","0","0","","","0","asiz","2000/10/29 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/11/26 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/25 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/25 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/25 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/25 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/25 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/3/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/3/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/4/28 1:1"
"380230","動物界","脊索動物門","鳥綱","鸛形目","鷸科","半蹼鷸屬","semipalmatus","III","","半蹼鷸","Limnodromus semipalmatus","0","0","","","0","asiz","2001/4/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/28 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/4/28 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/2/25 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/3/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/4/28 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2000/12/23 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/28 1:1"
"380132","動物界","脊索動物門","鳥綱","鸛形目","鷺科","麻鷺屬","goisagi","III","","麻鷺;栗頭麻鷺","Gorsachius goisagi","0","0","","","0","asiz","2001/2/28 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/3/30 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/4/24 1:1"
"380368","動物界","脊索動物門","鳥綱","雀形目","伯勞科","伯勞屬","cristatus","III","","紅尾伯勞","Lanius cristatus","0","0","","","0","asiz","2001/4/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/1/27 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/24 1:1"
"380235","動物界","脊索動物門","鳥綱","鸛形目","鷸科","杓鷸屬","arquata","III","","白腰杓鷸;大杓鷸","Numenius arquata","0","0","","","0","asiz","2001/2/24 1:1"
